0,0,0
-1,-60,10
-44,-34,-10
-70,-71,-33
-83,-9,-32
-35,24,-9
-73,55,-36
4,52,0
76,0,-8
-57,-95,0
-47,-115,29
-7,-112,46
-10,-140,58
-32,-146,49
51,-93,-3
23,-131,34
-11,-176,47
33,-155,2
14,-170,28
-10,-184,9
2,-181,-28
54,-135,-37
19,-160,-80
-18,-176,-30
-29,-154,-73
-29,-113,-30
97,-53,-20
101,-101,-53
-31,-160,-146
-101,-132,-146
-115,-116,-109
-117,-90,-86
-113,-50,-71
-124,-15,-71
-124,21,-81
-128,50,-96
-124,89,-122
-30,106,-41
-61,131,-110
-15,156,-106
-20,166,-61
-23,167,-25
-27,162,9
-34,147,38
-46,120,34
-54,99,15
-62,78,-7
-18,100,28
5,122,20
40,102,-15
2,149,7
19,154,-61
91,93,-43
38,138,-44
-146,-26,-137
-128,-93,-117
-140,-52,-166
-153,-29,-168
-140,8,-172
-140,42,-126
-135,72,-140
-128,84,-160
-100,106,-210
-71,129,-174
-149,44,-159
-140,43,-192
-147,38,-221
-142,44,-235
-162,-33,-187
-170,-14,-200
-168,0,-215
-136,-96,-150
-95,-134,-201
-128,-83,-181
-136,-84,-206
-161,-57,-203
-182,-33,-219
-174,-51,-231
-172,-31,-251
-177,-12,-236
-120,-99,-240
-164,-70,-250
-141,-68,-277
-161,-55,-268
-31,-145,-213
-40,-86,-292
9,-145,-240
-90,-75,-284
-49,-33,-308
14,-157,-270
-27,-104,-319
-39,-37,-370
-170,4,-245
-157,24,-241
-152,-33,-287
-167,-9,-269
-147,19,-274
-95,37,-286
-81,16,-296
-20,12,-327
-25,47,-298
37,74,-356
43,84,-305
-1,90,-271
-40,99,-258
-101,69,-263
-34,133,-204
45,131,-197
85,130,-101
147,-1,-51
166,-90,-115
130,-130,-140
90,-140,-118
62,-159,-197
123,-159,-193
71,-174,-224
188,-108,-163
-32,-134,-352
6,-178,-302
-21,-239,-384
-47,-245,-440
-59,-192,-486
-87,-72,-528
-47,3,-452
-67,-136,-524
-59,-152,-551
-69,-138,-588
-59,-166,-518
-38,16,-542
-18,42,-472
158,106,-364
118,103,-304
85,109,-254
38,67,-532
88,100,-426
138,99,-525
204,103,-446
57,7,-638
-44,-73,-873
-76,-59,-630
-20,3,-640
138,76,-617
131,50,-704
67,-2,-723
-13,-3,-717
54,12,-904
-36,0,-909
-10,19,-900
-57,41,-952
-17,66,-949
113,38,-901
142,34,-904
169,15,-908
202,12,-779
191,-33,-910
174,36,-958
263,-41,-689
221,33,-693
240,51,-618
236,83,-518
290,16,-517
281,-25,-621
278,-93,-566
46,57,-957
46,62,-977
-60,46,-976
-18,70,-980
155,75,-123
185,69,-185
213,65,-241
241,58,-290
274,48,-368
283,36,-425
254,-111,-630
205,-94,-744
76,-201,-254
130,-189,-228
70,-268,-299
132,-272,-283
59,-340,-350
-46,-296,-476
-77,-318,-577
-85,-279,-578
-85,-245,-589
-81,-217,-617
-72,-198,-652
-12,-121,-847
-33,-62,-978
-48,-50,-916
-84,-71,-911
-97,-80,-947
-68,-94,-988
-92,-133,-982
-109,-133,-938
-129,-269,-610
-122,-219,-664
-102,-206,-759
-54,-188,-769
-46,-194,-863
-99,-227,-871
-111,-156,-901
-89,-119,-901
-151,-181,-945
-145,-188,-908
-187,-240,-914
-190,-226,-951
-167,-225,-984
-123,-176,-982
-158,-302,-886
-207,-285,-922
-154,-269,-803
-154,-244,-706
-172,-302,-690
-170,-377,-820
-164,-360,-664
-176,-364,-725
-171,-352,-890
-143,-482,-755
-139,-491,-835
-145,-485,-889
-169,-400,-892
-224,-351,-928
-222,-411,-934
-200,-474,-932
-147,-561,-933
-122,-379,-614
-110,-460,-657
-59,-419,-608
-21,-378,-496
26,-518,-559
-49,-474,-633
45,-415,-422
-67,-528,-681
-7,-549,-637
-62,-574,-763
62,-595,-668
77,-542,-559
92,-492,-484
108,-428,-408
121,-352,-340
-214,-276,-952
-201,-279,-984
-216,-348,-982
-227,-351,-960
-224,-411,-962
-206,-410,-986
-205,-474,-961
-183,-469,-990
-176,-525,-963
-127,-545,-989
-146,-559,-961
-59,-600,-978
22,-635,-937
-82,-611,-921
51,-637,-910
18,-628,-844
-81,-576,-878
-37,-628,-899
82,-629,-856
134,-615,-863
97,-627,-911
69,-626,-939
103,-620,-792
43,-620,-773
147,-566,-634
27,-622,-964
154,-535,-576
169,-484,-504
153,63,-963
148,65,-980
158,-26,-971
202,-10,-138
176,-6,-88
233,-13,-196
252,-19,-236
277,-33,-298
129,84,-81
296,-53,-410
294,-68,-472
205,-41,-847
146,-89,-878
226,-42,-783
131,-72,-972
101,81,-953
103,85,-978
142,-459,-450
186,-417,-429
156,-388,-378
197,-341,-363
202,-258,-305
207,-152,-226
251,-70,-230
257,-101,-257
261,-149,-299
263,-214,-351
261,-300,-421
249,-374,-491
221,-464,-582
196,-515,-615
163,-575,-670
-164,-46,-194
289,-95,-365
290,-152,-424
287,-232,-502
281,-229,-569
277,-302,-570
267,-211,-650
278,-262,-600
258,-394,-562
315,-295,-640
311,-374,-621
199,-172,-785
236,-182,-719
166,-172,-865
294,-430,-624
323,-391,-690
294,-477,-713
248,-522,-670
188,-596,-771
248,-553,-777
275,-516,-739
284,-221,-701
315,-274,-726
327,-329,-698
240,-196,-764
290,-246,-765
237,-215,-818
200,-185,-825
218,-214,-851
204,-211,-874
143,-128,-915
275,-265,-824
245,-270,-875
267,-345,-888
306,-316,-799
314,-382,-794
313,-431,-801
296,-487,-824
254,-538,-846
272,-428,-900
269,-492,-901
246,-532,-917
197,-568,-954
163,-593,-933
207,-570,-900
148,-604,-909
169,-598,-885
136,-602,-947
101,-616,-944
226,-569,-807
193,-589,-855
157,-610,-830
128,-109,-983
167,-119,-982
188,-142,-926
196,-123,-977
216,-143,-935
254,-231,-918
240,-154,-943
227,-135,-971
259,-176,-968
263,-241,-965
262,-310,-966
264,-372,-962
262,-444,-961
248,-502,-964
